last_name, first_name,player_id,year,xwobacon,oz_swing_percent,whiff_percent,swing_percent,class2
Hopkins, TJ,686759,2023,0.451,34.5,35.4,48,B
Singleton, Jon,572138,2023,0.451,31,25,42,B
Ramos, Heliot,671218,2023,0.448,28.9,19.3,53.3,D
Meadows, Austin,640457,2023,0.447,43.2,15.9,55.7,D
Edwards, Xavier,669364,2023,0.447,30.3,17.9,51.3,D
Stowers, Kyle,669065,2023,0.447,36.7,35.9,54.2,B
Albies, Ozzie,645277,2023,0.447,35.1,21,53.9,C
Alfaro, Jorge,595751,2023,0.446,55.7,34.8,64.5,B
Heineman, Tyler,623168,2023,0.446,27.6,23.1,45.6,B
Hall, Darick,669742,2023,0.446,23.5,13.6,57.1,E
Velazquez, Andrew,623205,2023,0.443,21.3,34.3,55.8,B
Velazquez, Nelson,676369,2023,0.442,34.8,31.9,55.4,B
Franco, Wander,677551,2023,0.442,25.2,14,44,D
Taylor, Samad,669392,2023,0.442,25.5,33.3,46,B
Leon, Sandy,506702,2023,0.442,28.1,24.7,45.1,B
Deluca, Jonny,676356,2023,0.441,44,26.3,59.4,C
Blanco, Dairon,680118,2023,0.439,30.5,35.6,51.1,B
Kelly, Carson,608348,2023,0.439,27.7,31.1,45.5,B
Gonzales, Nick,693304,2023,0.438,24.4,42.7,48.7,B
Bregman, Alex,608324,2023,0.438,19.6,15,39.1,E
Trammell, Taylor,666211,2023,0.438,18,41.4,43.4,B
Votto, Joey,458015,2023,0.437,31.3,31.2,48.9,B
Fry, David,681807,2023,0.437,39.4,35.2,59.9,B
Naylor, Bo,666310,2023,0.437,30.5,30,48.9,B
Cruz, Oneil,665833,2023,0.437,30.3,30.1,45.1,B
Ortiz, Joey,687401,2023,0.436,35.6,22.8,50.9,C
Hoerner, Nico,663538,2023,0.435,32.1,10.7,46.9,D
Montes, Coco,663796,2023,0.435,40.9,28.7,61.7,C
Andujar, Miguel,609280,2023,0.435,29.6,22.2,47.8,B
Peraza, Oswald,672724,2023,0.434,10.7,16.1,38.4,E
Mercado, Oscar,640458,2023,0.434,30.8,23.3,53.6,B
Haseley, Adam,656514,2023,0.433,27.1,27.1,54.3,B
Wade, Tyler,642180,2023,0.432,26.3,28.4,42.8,B
Johnson, Bryce,669369,2023,0.432,29.1,28.9,47.2,B
Busch, Michael,683737,2023,0.43,28.6,29.2,48.2,B
Stubbs, Garrett,596117,2023,0.43,37.9,34.7,52.8,B
Yepez, Juan,660766,2023,0.429,30.6,21.1,49.5,B
Ramirez, Jose,608070,2023,0.429,27.8,15.5,47.1,D
Remillard, Zach,621545,2023,0.428,17.9,25.4,39.9,B
Haggerty, Sam,664059,2023,0.426,26.3,25.6,45.3,B
Chavis, Michael,656308,2023,0.424,30.4,32.4,54.1,B
Vientos, Mark,668901,2023,0.424,33.3,36.1,48.5,B
Eaton, Nate,681987,2023,0.424,31.3,35.9,49.5,B
Narvaez, Omar,553882,2023,0.423,26.7,13.5,45.1,D
Pache, Cristian,665506,2023,0.423,31.6,31.6,50.6,B
Ruf, Darin,573131,2023,0.422,16.4,26.6,35.6,B
Cordero, Franchy,614173,2023,0.422,31.3,39.8,50.7,B
Chang, Yu,644374,2023,0.421,35.4,28,54.7,C
Kwan, Steven,680757,2023,0.42,20.8,11.6,39.7,E
Mitchell, Garrett,669003,2023,0.419,22.4,40.2,45.1,B
Hill, Derek,656537,2023,0.419,30.8,23.5,48.9,B
Thompson, Trayce,572204,2023,0.418,19.8,42.5,38.4,B
Wynns, Austin,642851,2023,0.418,28.2,33.3,45.1,B
Sullivan, Brett,664954,2023,0.418,28.2,20,47.8,D
Amaya, Miguel,665804,2023,0.417,28.6,27.4,46.5,B
Acuna Jr., Ronald,660670,2023,0.417,22.6,19.5,45.7,E
Bichette, Bo,666182,2023,0.417,35.9,19.8,56.3,D
Monasterio, Andruw,655316,2023,0.416,15,22.6,35.5,B
Davis, Henry,680779,2023,0.416,28.2,28.1,42.5,B
Lamb, Jake,571875,2023,0.416,27.2,33.1,51.1,B
Arraez, Luis,650333,2023,0.416,31.8,7.2,49.5,D
Vosler, Jason,613564,2023,0.414,27.7,37.7,50.2,B
Hilliard, Sam,656541,2023,0.414,24.7,42,43.2,B
Reyes, Franmil,614177,2023,0.413,28.7,35.2,48.5,B
Nevin, Tyler,663527,2023,0.413,27.9,19,53.8,D
Fletcher, David,664058,2023,0.412,33.3,18.5,53.6,D
Thompson, Bubba,669352,2023,0.412,32.5,37.4,52.3,B
Vavra, Terrin,679631,2023,0.411,31.8,27.7,52.8,B
O'Hoppe, Logan,681351,2023,0.411,30.5,35.3,50.2,B
Urias, Luis,649966,2023,0.411,21.6,26.1,38.5,B
Miller, Brad,543543,2023,0.41,26.2,23.5,40.3,B
Bride, Jonah,681146,2023,0.409,19,19.6,33.8,E
Voit III, Luke,572228,2023,0.409,27.6,40.7,49.3,B
Walsh, Jared,665120,2023,0.409,24.1,43.3,41.9,B
Brujan, Vidal,660644,2023,0.409,36.9,20.8,53.8,C
Nido, Tomas,621512,2023,0.408,51.8,35,62.1,B
Mathias, Mark,664029,2023,0.408,14.8,28.7,39.8,B
Herrera, Jose,645444,2023,0.408,17.5,16.2,36.2,E
Ford, Mike,645801,2023,0.408,24.3,30.3,43,B
Azocar, Jose,640492,2023,0.408,53.9,20.5,59.6,C
Frazier, Clint,640449,2023,0.407,20.7,28.2,44.4,B
Adams, Riley,656180,2023,0.407,32.1,28.9,53,B
Marisnick, Jake,545350,2023,0.407,33.3,29.1,59.4,B
Mastrobuoni, Miles,670156,2023,0.407,24.7,25.7,36,B
Dixon, Brandon,641525,2023,0.406,37.7,35.9,49.6,B
Hensley, David,682073,2023,0.406,18.3,29.1,37.7,B
Garcia, Avisail,541645,2023,0.405,32,34.4,54.6,B
Ramos, Henry,592656,2023,0.404,23.5,25,45.1,B
Capel, Conner,668843,2023,0.403,20,29.3,41.6,B
Cave, Jake,595909,2023,0.403,23.3,25,42.9,B
Freeman, Tyler,671289,2023,0.403,26.5,15.8,43.9,D
Garver, Mitch,641598,2023,0.403,18.7,28.6,39.2,B
McKinney, Billy,641856,2023,0.402,24.3,27.3,52.2,B
Semien, Marcus,543760,2023,0.402,22,18.5,48.7,E
Slater, Austin,596103,2023,0.402,23.9,28.2,43.4,B
Perkins, Blake,663368,2023,0.401,16.6,22.1,38.2,B
Sosa, Lenyn,672820,2023,0.401,42.6,23.3,50.4,C
Brosseau, Mike,670712,2023,0.4,28.7,31.3,48.2,B
Matos, Luis,682641,2023,0.399,24.2,20,45.1,D
Grissom, Vaughn,687093,2023,0.398,33.6,21,55.4,C
Dozier, Hunter,641531,2023,0.398,28.9,33.1,47.4,B
McKenna, Ryan,663630,2023,0.398,29.8,33.5,51.4,B
Casali, Curt,592200,2023,0.398,22.1,24.8,46,B
Taylor, Tyrone,621438,2023,0.397,38.3,29.8,54.1,B
Diaz, Jordan,672478,2023,0.397,37,30.4,57.8,B
Barnhart, Tucker,571466,2023,0.397,28.9,22,47,B
Bart, Joey,663698,2023,0.397,29.3,28.4,49.2,B
Colas, Oscar,693049,2023,0.397,38.7,27.3,50.8,C
O'Neill, Tyler,641933,2023,0.397,29.2,32.6,45.9,B
Mervis, Matt,670223,2023,0.396,28.4,33.3,50.4,B
Gonzalez, Oscar,660757,2023,0.396,48.1,28.4,56.4,C
Reyes, Pablo,622569,2023,0.396,22.8,18.5,43.9,E
Gonzalez, Romy,663853,2023,0.396,36.6,38.1,49.9,B
Donaldson, Josh,518626,2023,0.395,30.8,25.9,47,B
Guillorme, Luis,641645,2023,0.395,20.5,17.6,39.2,E
Maile, Luke,571912,2023,0.395,26.2,28.9,44,B
Murphy, Tom,608596,2023,0.395,30.2,33.2,51.2,B
Wallach, Chad,595453,2023,0.395,29,37.8,48.4,B
Waters, Drew,671221,2023,0.394,35,34,51.3,B
Wisely, Brett,689172,2023,0.393,34.6,29.4,53,B
Daza, Yonathan,602074,2023,0.392,45.1,19.7,57.1,D
Zunino, Mike,572287,2023,0.392,32.8,42.8,46.7,B
Montero, Elehuris,660707,2023,0.391,44.9,41.4,51.2,B
Gallagher, Cam,595956,2023,0.391,27.5,22.1,48.4,B
Davis, Jonathan,641505,2023,0.391,21.4,26.4,43.7,B
Smith, Kevin,675656,2023,0.39,42.5,31,54.4,B
De La Cruz, Elly,682829,2023,0.39,37.2,30.5,46.4,B
Valdez, Enmanuel,665839,2023,0.39,26.9,25,43.1,B
Duvall, Adam,594807,2023,0.389,31.5,27.5,48.3,B
Barnes, Austin,605131,2023,0.388,20.6,23.6,40.8,B
Lewis, Royce,668904,2023,0.388,32.1,31.7,50.8,B
Fletcher, Dominic,666150,2023,0.388,33.3,21.5,50.1,C
Hosmer, Eric,543333,2023,0.387,38.4,23.6,52.1,C
Fermin, Freddy,666023,2023,0.387,32.7,27,53.3,C
Jones, Nolan,666134,2023,0.387,25.3,30.6,39.2,B
Zavala, Seby,664874,2023,0.385,38.9,38.6,57,B
Delay, Jason,641511,2023,0.385,30.7,28.6,51.2,B
Sanchez, Gary,596142,2023,0.385,27.3,28.4,40.7,B
Alberto, Hanser,593643,2023,0.384,50.3,19.8,66.7,D
Aguilar, Jesus,542583,2023,0.384,34.4,23.9,46.7,C
Benson, Will,666181,2023,0.383,17.9,26.7,42.3,B
Vargas, Ildemaro,545121,2023,0.383,34.1,11.6,46.4,D
Smith, Josh H.,669701,2023,0.383,21.5,24.2,39.7,B
Harrison, Josh,543281,2023,0.383,31.7,22,50.8,B
McGuire, Reese,624512,2023,0.382,37.1,22.4,51.9,C
Duffy, Matt,622110,2023,0.382,28.7,23.8,49.5,B
Dickerson, Corey,572816,2023,0.382,48.1,24.1,59.3,C
Villar, David,681584,2023,0.382,25.3,36.7,42.8,B
Knizner, Andrew,668800,2023,0.38,39.2,26.9,56.3,C
Pillar, Kevin,607680,2023,0.379,39,25.8,55.3,C
Moniak, Mickey,666160,2023,0.379,45.7,33.6,63,B
Julien, Edouard,666397,2023,0.379,16.3,34.8,40.1,B
McCann, James,543510,2023,0.378,36.3,26.7,53.4,C
Bradley Jr., Jackie,598265,2023,0.378,34.3,32.6,53.4,B
Caratini, Victor,605170,2023,0.377,20.9,21,43.5,B
Short, Zack,670097,2023,0.377,14.8,16.9,41.8,E
Myers, Wil,571976,2023,0.376,29.7,36.8,43.3,B
Gordon, Nick,624503,2023,0.376,39.2,20.9,58.9,C
Arias, Gabriel,672356,2023,0.376,29.8,35.8,51.2,B
Palacios, Josh,641943,2023,0.376,27.2,25.3,52.2,B
Tapia, Raimel,606132,2023,0.375,41.4,28.7,48.9,C
Jeffers, Ryan,680777,2023,0.375,26.6,31,41.9,B
Biggio, Cavan,624415,2023,0.374,19,25.4,41.5,B
Stallings, Jacob,607732,2023,0.374,21.9,25,39.5,B
Isbel, Kyle,664728,2023,0.374,26.7,18.8,48.8,D
Pollock, AJ,572041,2023,0.374,34,25.3,51.3,C
Bauers, Jake,641343,2023,0.374,24.5,31.4,44.5,B
Trejo, Alan,676701,2023,0.374,37.7,24.5,53.1,C
Allen, Nick,669397,2023,0.373,28.6,17.5,48.3,D
O'Hearn, Ryan,656811,2023,0.373,27.5,25.6,49,B
Hampson, Garrett,641658,2023,0.373,27,26,42.5,B
Rogers, Jake,668670,2023,0.373,19.6,31.7,42.1,B
Bailey, Patrick,672275,2023,0.372,26.4,24.8,44.3,B
Longoria, Evan,446334,2023,0.372,28,27.8,42.5,B
Tauchman, Mike,643565,2023,0.372,16.9,25.8,41,B
Barrero, Jose,676480,2023,0.372,33.4,35.2,50.2,B
Polanco, Jorge,593871,2023,0.371,31,22.1,49.8,B
Ahmed, Nick,605113,2023,0.371,30.2,25.7,48.2,B
Schoop, Jonathan,570731,2023,0.371,33.2,29.8,52.6,B
Robles, Victor,645302,2023,0.37,27.4,21.6,53.1,B
Higashioka, Kyle,543309,2023,0.37,34.7,31,52.3,B
Odor, Rougned,596059,2023,0.37,29.7,26.1,49.6,B
Larnach, Trevor,663616,2023,0.37,23.2,37.2,40.6,B
Refsnyder, Rob,608701,2023,0.369,21.7,24,38.9,B
Brown, Seth,664913,2023,0.369,30.7,35.5,49,B
Moustakas, Mike,519058,2023,0.369,26.9,29.7,46.6,B
Stanton, Giancarlo,519317,2023,0.368,28,31.5,44.3,B
Altuve, Jose,514888,2023,0.368,30.4,20.2,42.5,D
d'Arnaud, Travis,518595,2023,0.368,22.9,28.7,48.1,B
Garrett, Stone,656448,2023,0.367,36.7,30.5,54.1,B
Espinal, Santiago,669289,2023,0.366,25.7,16.6,43.5,D
Cruz Jr., Nelson,443558,2023,0.366,39.4,36.1,52.3,B
Lopez, Nicky,670032,2023,0.366,23.2,22.8,44.4,B
Carpenter, Matt,572761,2023,0.365,22,29.3,41.7,B
Mejia, Francisco,642336,2023,0.365,48.7,21.9,58.7,C
Winker, Jesse,608385,2023,0.365,19.6,23.4,43.2,B
Nola, Austin,543592,2023,0.365,20.7,15.6,39.4,E
Moncada, Yoan,660162,2023,0.365,31.3,29.6,47.2,B
Clemens, Kody,665019,2023,0.364,30.1,27.9,47.6,B
Gallo, Joey,608336,2023,0.363,29,43,51.1,B
Jankowski, Travis,608671,2023,0.363,14.7,17.8,36.1,E
Carpenter, Kerry,681481,2023,0.363,31,26.8,50.4,B
Belt, Brandon,474832,2023,0.362,17.9,35.2,41,B
Perez, Carlos,542208,2023,0.362,30.6,22,46.1,B
Taylor, Chris,621035,2023,0.361,25.1,36.8,49,B
Bleday, JJ,668709,2023,0.361,21.8,25.4,44.8,B
Wisdom, Patrick,621550,2023,0.361,23.4,33.7,46.4,B
Caballero, Jose,676609,2023,0.361,24,20.1,41.3,D
Haniger, Mitch,571745,2023,0.361,25.1,26.8,46.8,B
Doyle, Brenton,686668,2023,0.361,30.6,36.2,52.2,B
Fairchild, Stuart,656413,2023,0.361,24.6,34.4,51.5,B
Baddoo, Akil,668731,2023,0.36,22.8,25.6,46.3,B
Schmitt, Casey,669477,2023,0.36,46.4,30.3,57.8,B
Escobar, Eduardo,500871,2023,0.36,36.7,22.3,49.3,C
Wendle, Joey,621563,2023,0.359,34,27.2,46.9,C
Morel, Christopher,666624,2023,0.358,26.7,34.9,49.4,B
Miranda, Jose,669304,2023,0.358,34.5,25.5,52,C
Hicks, Aaron,543305,2023,0.357,19.8,24,41.8,B
Arroyo, Christian,624414,2023,0.357,40.1,27.2,59.5,C
Wong, Kolten,543939,2023,0.357,26.8,21.1,46.5,B
Vogelbach, Daniel,596129,2023,0.357,19.8,21.5,34.5,B
Chisholm Jr., Jazz,665862,2023,0.357,24.7,35.8,42.6,B
Thaiss, Matt,642136,2023,0.356,19.5,33.3,44.8,B
Kirilloff, Alex,666135,2023,0.356,28,26.2,43.9,B
McCormick, Chas,676801,2023,0.355,29.6,29.6,47.6,B
Lowe, Brandon,664040,2023,0.354,31.7,33.3,52.5,B
Siri, Jose,642350,2023,0.353,34.7,41.5,49.5,B
Judge, Aaron,592450,2023,0.353,20.2,37.1,42.7,B
Calhoun, Willie,641432,2023,0.352,22.5,15.7,39.7,E
Sanchez, Jesus,660821,2023,0.352,31,28.8,51,B
Pederson, Joc,592626,2023,0.352,27.8,27.6,43.2,B
Hedges, Austin,595978,2023,0.352,32.5,26,52.3,C
Cabrera, Miguel,408234,2023,0.351,29.9,26.7,50.7,B
Wong, Connor,657136,2023,0.351,32.2,30.9,52.4,B
Cron, C.J.,543068,2023,0.35,29.5,28.9,46.2,B
Bader, Harrison,664056,2023,0.349,36.4,23,50.1,C
Carlson, Dylan,666185,2023,0.349,25.7,24.3,45.8,B
Thomas, Alek,677950,2023,0.349,28.8,25.6,48.6,B
Rivera, Emmanuel,656896,2023,0.349,28.1,22.8,48.9,B
Farmer, Kyle,571657,2023,0.348,33.1,26,47.3,C
Walker, Jordan,691023,2023,0.348,31.7,30.3,53.2,B
Pratto, Nick,668472,2023,0.347,23.9,33.6,40.5,B
Trevino, Jose,624431,2023,0.347,38.5,16.9,46.4,D
Crawford, Brandon,543063,2023,0.347,31.7,30.2,51.1,B
Jansen, Danny,643376,2023,0.347,26.9,24,48.9,B
Rendon, Anthony,543685,2023,0.347,16.8,17.8,39.7,E
Massey, Michael,686681,2023,0.346,33.1,29.7,51.4,B
Vazquez, Christian,543877,2023,0.346,28.3,25.9,44.9,B
Raley, Luke,670042,2023,0.346,30,39.7,51.9,B
Diaz, Yainer,673237,2023,0.345,48.5,27.5,62,C
Sabol, Blake,666165,2023,0.345,29,36.1,52.1,B
Maldonado, Martin,455117,2023,0.345,31.1,32.8,47.8,B
Sosa, Edmundo,624641,2023,0.345,44.3,27.8,59.8,C
McLain, Matt,680574,2023,0.345,24.7,24.7,42,B
