last_name, first_name,player_id,year,xwobacon,oz_swing_percent,whiff_percent,swing_percent,class1,class2
Slater, Austin,596103,2019,0.433,23.1,32.8,42.1,4,B
Flowers, Tyler,452095,2016,0.433,23.6,28.7,45.6,3,B
Davis, Chris,448801,2019,0.433,25.1,38,40.4,8,B
McCann, James,543510,2020,0.433,27.3,29.2,47,8,B
Cordero, Franchy,614173,2022,0.433,30.8,37.1,48.9,12,B
Renfroe, Hunter,592669,2021,0.433,31.8,25.9,48.2,11,B
Cron, C.J.,543068,2018,0.433,34.9,29.1,50.8,16,B
Avila, Alex,488671,2016,0.432,14.6,38.4,36.8,4,B
Pham, Tommy,502054,2017,0.432,16.2,20.9,37.9,2,B
Gallo, Joey,608336,2020,0.432,19.1,37.4,43.6,4,B
Goldschmidt, Paul,502671,2020,0.432,22.5,23.7,40.6,2,B
Martinez, Jose,500874,2018,0.432,26.1,21.4,43.6,6,B
Candelario, Jeimer,600869,2020,0.432,26.1,27.6,45,7,B
Jones, JaCoby,592444,2020,0.432,26.3,33.3,41.3,8,B
Slater, Austin,596103,2022,0.432,26.5,31.2,45.2,8,B
Meyers, Jake,676694,2021,0.432,26.8,29.2,46,8,B
Zunino, Mike,572287,2016,0.432,27.7,37.7,46.5,8,B
Grichuk, Randal,545341,2016,0.432,35.7,30.3,53.8,16,B
Williams, Nick,608384,2017,0.432,38.5,34.5,59.1,16,B
Carpenter, Matt,572761,2021,0.431,15.3,29.7,38.7,4,B
Hoskins, Rhys,656555,2020,0.431,22.2,26.6,41.5,3,B
Suarez, Eugenio,553993,2020,0.431,23.9,31.7,41.7,4,B
Stewart, DJ,621466,2020,0.431,24.2,35.8,48.6,8,B
Realmuto, J.T.,592663,2020,0.431,25.2,29.8,45.3,8,B
Grichuk, Randal,545341,2018,0.431,32.7,31.2,50.6,16,B
McCann, James,543510,2019,0.431,32.9,28.7,49.6,15,C
Tomas, Yasmany,630111,2017,0.431,33.8,31.6,52.6,16,B
Dixon, Brandon,641525,2019,0.431,33.9,35.4,51.9,16,B
Springer III, George,543807,2021,0.43,24,27,45.8,7,B
Napoli, Mike,435063,2017,0.43,25.3,34.5,43.2,8,B
Swanson, Dansby,621020,2022,0.43,26.4,30.7,49.4,8,B
Williams, Nick,608384,2018,0.43,30.2,27,49.3,11,B
Voit III, Luke,572228,2022,0.43,30.6,37.6,52,12,B
Duvall, Adam,594807,2020,0.43,32.7,27.1,49,15,C
Turner, Justin,457759,2020,0.429,19,20.5,42.9,2,B
Grandal, Yasmani,518735,2016,0.429,20.6,28,39.2,3,B
Springer III, George,543807,2017,0.429,22.3,23.3,44.7,2,B
Soler, Jorge,624585,2021,0.429,23,29.2,44.8,4,B
Carter, Chris,474892,2017,0.429,26.9,40.5,47.8,8,B
Correa, Carlos,621043,2016,0.429,27.8,24.3,44.5,6,B
Schwarber, Kyle,656941,2020,0.429,27.9,28,42.9,7,B
Reynolds, Bryan,668804,2019,0.429,28.1,26.3,48,11,B
Aquino, Aristides,606157,2021,0.429,28.2,39.3,45.1,12,B
Odor, Rougned,596059,2019,0.429,30,29.1,47.9,12,B
Valencia, Danny,502143,2015,0.429,30.7,26.6,46.3,11,B
Martinez, J.D.,502110,2022,0.429,31.9,30.1,51.9,12,B
Choi, Ji Man,596847,2022,0.428,19.9,32.3,41.7,4,B
Stassi, Max,545358,2021,0.428,23,31.3,44.5,4,B
Hernandez, Teoscar,606192,2019,0.428,25.1,34.8,47.3,8,B
Lamb, Jake,571875,2016,0.428,25.3,29,43.6,8,B
Springer III, George,543807,2016,0.428,25.5,27.9,47.3,7,B
Bonifacio, Jorge,593528,2017,0.428,25.7,30.7,52.6,8,B
Seager, Corey,608369,2021,0.428,26.9,28.1,53.3,7,B
Blackmon, Charlie,453568,2017,0.428,27.4,18.9,46.4,5,D
Story, Trevor,596115,2019,0.428,28.5,26.4,48.1,11,B
Miller, Brad,543543,2018,0.428,31.3,32.5,49,12,B
Rodriguez, Julio,677594,2022,0.428,33.5,30.4,50.2,16,B
Cron, C.J.,543068,2017,0.428,35,27,52.4,15,C
Kemp, Matt,461314,2017,0.428,35.2,29.8,54.8,16,B
Gurriel Jr., Lourdes,666971,2019,0.428,35.5,32.6,50.9,16,B
Crawford, Carl,408307,2015,0.428,36.1,24.5,51.8,14,C
Pearce, Steve,456665,2018,0.427,21.3,24.4,43,2,B
Alonso, Yonder,475174,2017,0.427,26,26.1,47.2,7,B
Martin, Leonys,547982,2018,0.427,27,25.2,51.3,7,B
Reyes, Franmil,614177,2018,0.427,27.4,31.6,46.4,8,B
Gallo, Joey,608336,2022,0.427,27.5,40.6,47.4,8,B
Longoria, Evan,446334,2020,0.427,28,21,45,6,B
Garcia, Avisail,541645,2018,0.427,40.1,33.9,58.6,16,B
Lewis, Kyle,641786,2021,0.426,21.4,34.2,47,4,B
Slater, Austin,596103,2021,0.426,22.7,30,45.5,4,B
Kang, Jung Ho,628356,2015,0.426,23.2,25,42.3,3,B
Bradley Jr., Jackie,598265,2018,0.426,23.3,30.6,47.3,4,B
Lamb, Jake,571875,2022,0.426,23.8,31.1,43.3,4,B
Goldschmidt, Paul,502671,2022,0.426,25.1,26.8,41.7,7,B
Brown, Seth,664913,2022,0.426,29.1,29.6,48.3,12,B
Turner, Trea,607208,2016,0.426,31.8,23.6,47.4,10,B
Morales, Kendrys,434778,2017,0.426,32.2,29,49.6,12,B
Garcia, Avisail,541645,2019,0.426,36,32,56.4,16,B
Chapman, Matt,656305,2022,0.425,19.2,28.7,41.7,3,B
McCormick, Chas,676801,2021,0.425,25.3,35.5,46.6,8,B
Desmond, Ian,435622,2019,0.425,26.2,26.2,46,7,B
Castillo, Welington,456078,2015,0.425,26.4,25.3,43.8,7,B
Kemp, Matt,461314,2020,0.425,28.7,36.3,43.9,12,B
Morse, Michael,434604,2015,0.425,30.3,31.4,49.1,12,B
Machado, Manny,592518,2016,0.425,30.6,22.3,49.3,10,B
Devers, Rafael,646240,2020,0.425,38.6,31.5,55,16,B
Taylor, Chris,621035,2017,0.424,22.2,25.3,45.9,3,B
Altherr, Aaron,571437,2017,0.424,25.5,29.9,44.4,8,B
Bruce, Jay,457803,2017,0.424,29.5,27.6,49.8,11,B
Duda, Lucas,446263,2018,0.424,29.5,31.8,44.4,12,B
Butler, Billy,456714,2016,0.424,31.5,21,45.4,10,B
Mancini III, Trey,641820,2019,0.424,32,26.9,48.1,11,B
Schebler, Scott,594988,2017,0.424,32.8,29.2,52.7,16,B
Contreras, Willson,575929,2019,0.424,35.2,33,50.1,16,B
Devers, Rafael,646240,2019,0.424,37.3,24,55,14,C
Soto, Geovany,434567,2015,0.423,19.5,29,38.2,4,B
Machado, Manny,592518,2020,0.423,23.9,21.7,46.7,2,B
Waters, Drew,671221,2022,0.423,25.9,32.4,47.1,8,B
McMahon, Ryan,641857,2019,0.423,26.5,32.4,49.6,8,B
Jones, JaCoby,592444,2019,0.423,29.9,26.1,47,11,B
Happ, Ian,664023,2019,0.423,30,30.4,51.9,12,B
Taylor, Michael A.,572191,2017,0.423,30.2,33.1,49.6,12,B
Votto, Joey,458015,2018,0.406,13.1,17.9,39.7,9,D
Hamilton, Josh,285078,2015,0.423,38.3,36.2,52.8,16,B
Belt, Brandon,474832,2018,0.422,23,25.9,48.8,3,B
Maybin, Cameron,457727,2019,0.422,24.1,28.3,41.9,7,B
Story, Trevor,596115,2017,0.422,26.8,31.4,48.2,8,B
Correa, Carlos,621043,2022,0.422,26.9,22,44.4,6,B
Olson, Matt,621566,2022,0.422,28.5,28.9,49.5,11,B
Pollock, AJ,572041,2020,0.422,29.9,24.4,47.7,10,B
Raleigh, Cal,663728,2022,0.422,31.1,32.1,52.6,12,B
Crawford, Brandon,543063,2015,0.422,32.3,27.9,51.8,11,B
Turner, Justin,457759,2017,0.399,21.6,15.7,43.8,13,D
Hosmer, Eric,543333,2020,0.422,34.7,20.2,50.4,13,D
Gomes, Yan,543228,2018,0.422,35.4,29.5,53.6,16,B
Garcia, Adolis,666969,2022,0.422,37.3,33.5,53.5,16,B
Mountcastle, Ryan,663624,2021,0.422,38.2,31.6,55.1,16,B
Harris II, Michael,671739,2022,0.422,39,28.1,52.4,15,C
Schoop, Jonathan,570731,2015,0.422,42.6,31,60.9,16,B
Perez, Salvador,521692,2017,0.422,46,20.9,58.8,14,C
Biggio, Cavan,624415,2019,0.421,13.7,25.9,36.1,3,B
Urias, Ramon,602104,2021,0.421,20.4,25.8,43.9,3,B
Haniger, Mitch,571745,2019,0.421,22,26.6,42.4,3,B
Chapman, Matt,656305,2021,0.421,22.9,32.7,44.6,4,B
Castro, Jason,488771,2016,0.421,23.8,31.6,43.9,4,B
Encarnacion, Edwin,429665,2018,0.421,24.6,26.3,44.6,7,B
Encarnacion, Edwin,429665,2019,0.421,25.3,25.9,43.5,7,B
Brown, Seth,664913,2021,0.421,26.3,32.4,44.9,8,B
Machado, Manny,592518,2021,0.421,28.9,23,48,10,B
Drew, Stephen,452220,2016,0.397,21.8,17.2,42.4,9,D
Mancini III, Trey,641820,2017,0.421,31.4,28.4,50.9,11,B
Guzman, Ronald,608597,2019,0.421,31.4,32.6,49.3,12,B
Riley, Austin,663586,2020,0.421,32.3,30.1,54.2,12,B
Ozuna, Marcell,542303,2022,0.421,33.4,28.7,49.4,15,C
Solano, Donovan,456781,2019,0.421,36.1,19,50.8,13,D
Longoria, Evan,446334,2021,0.42,18.7,25.1,42.4,3,B
Forsythe, Logan,523253,2016,0.42,18.8,22.7,39.6,2,B
Choi, Ji Man,596847,2021,0.42,19.3,31.7,42.5,4,B
Lamb, Jake,571875,2017,0.42,20.4,23.8,39.8,2,B
Choi, Ji Man,596847,2019,0.42,20.4,25.3,43,3,B
Ward, Taylor,621493,2022,0.42,20.6,22.2,41.4,2,B
Frazier, Clint,640449,2019,0.42,21,32.5,44.2,4,B
Choo, Shin-Soo,425783,2018,0.42,22,26.8,40.9,3,B
O'Hearn, Ryan,656811,2018,0.42,22.5,31.2,41.8,4,B
Suarez, Eugenio,553993,2021,0.42,23.3,29.5,42.7,4,B
Saladino, Tyler,573135,2018,0.42,24,30,41.8,8,B
Winker, Jesse,608385,2021,0.42,24.3,20.1,45.1,5,D
Bader, Harrison,664056,2020,0.42,27.9,27.9,42.5,7,B
McKinney, Billy,641856,2018,0.42,28.5,23.3,46.9,10,B
Thames, Eric,519346,2019,0.42,28.6,32.4,47.2,12,B
Torres, Gleyber,650402,2018,0.42,30.2,31.4,48.4,12,B
Abreu, Jose,547989,2017,0.42,30.5,22.5,48.2,10,B
Gurriel Jr., Lourdes,666971,2020,0.42,33.9,26.3,51.2,15,C
Devers, Rafael,646240,2022,0.42,36.2,28.1,54.6,15,C
Bichette, Bo,666182,2021,0.42,38.1,22.3,57.8,14,C
Soto, Juan,665742,2018,0.419,18.4,22.1,39,2,B
Choi, Ji Man,596847,2018,0.419,20,29.5,41,4,B
Choo, Shin-Soo,425783,2017,0.419,20.5,22.9,42.1,2,B
Ross, David,424325,2016,0.419,24.2,30.3,46.5,8,B
Swanson, Dansby,621020,2019,0.419,24.7,27.6,45.9,7,B
Moreland, Mitch,519048,2018,0.419,24.8,27.9,46.5,7,B
Lowe, Nathaniel,663993,2022,0.419,29.2,24.9,52.2,11,B
Contreras, Willson,575929,2017,0.419,29.4,30,48,12,B
Renfroe, Hunter,592669,2019,0.419,29.6,30.6,45.9,12,B
Dickerson, Alex,543105,2019,0.419,30.1,24,49.9,10,B
Peralta, David,444482,2015,0.419,31.2,24.4,47.6,10,B
Abreu, Jose,547989,2018,0.419,34.8,24.6,49,15,C
Heyward, Jason,518792,2020,0.418,18.5,23.4,37,2,B
Granderson, Curtis,434158,2015,0.418,19.3,20.8,37.5,2,B
Choo, Shin-Soo,425783,2020,0.418,20.4,32.4,40.2,4,B
Sisco, Chance,642082,2019,0.418,22,29.5,43.4,4,B
Rosales, Adam,489267,2016,0.418,22.4,35.7,42.7,4,B
Wade Jr., LaMonte,664774,2021,0.418,22.7,20,46.1,1,E
Moncada, Yoan,660162,2021,0.418,23.6,28.1,42.6,3,B
Diaz, Yandy,650490,2018,0.397,21.9,16.7,44.5,5,D
Carlson, Dylan,666185,2020,0.418,24.5,30.7,41.1,8,B
Dozier, Hunter,641531,2019,0.418,26.8,27,44.7,7,B
Valencia, Danny,502143,2016,0.418,29.4,28.2,44.1,11,B
Cooper, Garrett,643265,2022,0.418,30.3,25.1,45.2,11,B
Cron, C.J.,543068,2021,0.418,30.8,27.4,47.1,11,B
Kingery, Scott,664068,2019,0.418,31.2,31.8,50.6,12,B
Pollock, AJ,572041,2021,0.418,33,24.2,52.8,14,C
Naquin, Tyler,571980,2022,0.418,37.8,30.5,58,16,B
Hardy, J.J.,429666,2016,0.33,23.2,15.1,36.3,1,E
Fletcher, David,664058,2019,0.32,22.5,9.7,36.3,1,E
Swanson, Dansby,621020,2021,0.417,24.1,30.4,48.1,8,B
Seager, Kyle,572122,2016,0.417,24.2,18.5,42.2,5,D
Sanchez, Gary,596142,2021,0.417,25.3,29.4,44.1,8,B
Parker, Jarrett,592620,2016,0.417,25.4,30.3,46.6,8,B
Calhoun, Kole,594777,2019,0.417,25.9,32.1,48.2,8,B
Morales, Kendrys,434778,2015,0.417,30.1,22.9,47.9,10,B
