last_name, first_name,player_id,year,wobacon,oz_swing_percent,whiff_percent,swing_percent,f_strike_percent,class
Mayberry Jr., John,460055,2015,0.291,27.3,29,46.9,57.1,D
Pennington, Cliff,460060,2015,0.27,24.1,23.1,43.6,52.6,B
Braun, Ryan,460075,2015,0.428,35.8,22.9,50.3,64.4,E
Butera, Drew,460077,2015,0.257,26,25.9,51,67.5,D
Gordon, Alex,460086,2015,0.4,21.5,23.9,41.8,58.5,A
Reimold, Nolan,460099,2015,0.38,23.2,26.1,40.3,62.1,C
Gimenez, Chris,460269,2015,0.391,22.4,18.8,40.5,62.8,A
Gomez, Carlos,460576,2015,0.369,35.4,25.5,56,63.9,G
Moss, Brandon,461235,2015,0.39,30.9,29.6,49.3,58,G
Kemp, Matt,461314,2015,0.394,34.8,26.3,50.9,58.3,G
Venable, Will,461416,2015,0.349,28.7,24.9,44.9,61.8,H
Murphy, David,461815,2015,0.344,32.7,15.4,46.2,58.2,F
Plouffe, Trevor,461858,2015,0.365,24.5,20.9,44.9,64.6,B
Romine, Andrew,461865,2015,0.328,30.6,21.6,50.9,62.1,F
Andrus, Elvis,462101,2015,0.3,25,14.8,43.1,62.3,B
Uggla, Dan,462564,2015,0.305,20.8,28.5,42.5,58.2,D
Cervelli, Francisco,465041,2015,0.378,19.2,19,41.3,60.8,A
Ciriaco, Pedro,465674,2015,0.35,51.6,25.9,60.8,70.9,H
Cabrera, Everth,465784,2015,0.242,29.4,23.4,48.4,60,F
Cabrera, Melky,466320,2015,0.328,33.2,13.3,47,61.3,F
Sandoval, Pablo,467055,2015,0.309,47.2,19.1,58.8,65,F
Herrera, Elian,467070,2015,0.375,31.5,24.2,52.4,65.3,E
Ramos, Wilson,467092,2015,0.314,33.8,24.3,53.6,65.9,F
Gomez, Hector,467143,2015,0.31,46.6,28.3,57.2,64.9,H
Santana, Carlos,467793,2015,0.339,19.2,19.3,36.6,48.2,B
Parra, Gerardo,467827,2015,0.378,38,18.3,54.8,66.4,E
Herrera, Jonathan,468406,2015,0.296,33.3,16.9,49.9,65.9,F
Montero, Miguel,471083,2015,0.395,27.6,31.3,48.6,62.8,C
Gonzalez, Carlos,471865,2015,0.446,36.7,30.5,53.7,57.4,G
Valbuena, Luis,472528,2015,0.368,26.1,25.3,46.8,57.6,C
Conger, Hank,474233,2015,0.412,26.5,27.9,45.2,67.2,C
De Jesus Jr., Ivan,474443,2015,0.361,21.7,23.7,42.8,61.7,B
Mercer, Jordy,474568,2015,0.296,29.6,16.8,43.9,60.2,F
Belt, Brandon,474832,2015,0.455,25.5,28.2,49.8,60.1,C
Carter, Chris,474892,2015,0.423,24.4,37.3,45.9,62.1,C
Van Slyke, Scott,475100,2015,0.362,24.9,28.4,46.7,61.3,D
Alonso, Yonder,475174,2015,0.328,25.9,15.8,45.4,55.7,B
Flaherty, Ryan,475247,2015,0.337,28.2,24.9,45.4,62.1,D
Smoak, Justin,475253,2015,0.413,26.5,29.4,42.6,58.2,C
Zimmerman, Ryan,475582,2015,0.378,27.5,21.5,41.2,60.8,A
Parmelee, Chris,476633,2015,0.374,33.2,19.2,48.7,67.6,E
Lowrie, Jed,476704,2015,0.322,23.6,17,44.5,57.8,B
Alvarez, Pedro,476883,2015,0.426,28,30.8,46.2,58.2,C
Wallace, Brett,477165,2015,0.519,35.2,38.6,48.4,57,G
Davis, Ike,477195,2015,0.309,26.3,18.2,43.5,66.5,B
Carrera, Ezequiel,485567,2015,0.372,30.7,26,45.9,66.1,G
Avila, Alex,488671,2015,0.326,15.2,35.4,40.3,57.1,D
Barnes, Brandon,488681,2015,0.344,34.3,30.4,52.5,64.1,H
Bourjos, Peter,488721,2015,0.323,31.5,28.1,48.9,70.7,H
Brantley Jr., Michael,488726,2015,0.371,22.1,8.7,42.3,58.6,A
Castro, Jason,488771,2015,0.368,26.7,33,47.3,59.2,C
Cruz, Tony,488810,2015,0.282,30.9,22.9,52.3,63.6,F
Escobar, Yunel,488862,2015,0.361,26.5,17.7,49.9,63.8,B
Gosewisch, Tuffy,488912,2015,0.257,30.4,17.1,46.8,53.6,F
Moore, Tyler,489138,2015,0.315,32,25.3,50.1,56.5,H
Morrison, Logan,489149,2015,0.314,28.8,18.5,47.9,57.9,F
Rosales, Adam,489267,2015,0.333,19.2,26.3,41.1,60,D
Sucre, Jesus,491696,2015,0.199,26.6,14.8,42.5,53.5,B
Aoki, Norichika,493114,2015,0.31,26.6,9.3,45.2,61.2,B
Cespedes, Yoenis,493316,2015,0.45,36.5,23.6,48.9,58.4,E
Ramirez, Alexei,493351,2015,0.292,31.5,15.6,48.6,67,F
Campbell, Eric,493472,2015,0.265,17.3,21.3,40.7,62.6,B
Beckham, Gordon,493596,2015,0.284,27.7,18,47.9,62.4,B
Colabello, Chris,499624,2015,0.502,31.4,31.2,50.2,68.1,G
Solarte, Yangervis,500208,2015,0.332,30.8,13.3,48.4,58.1,F
Rojas, Miguel,500743,2015,0.311,30.3,16.7,50.1,61.8,F
Escobar, Eduardo,500871,2015,0.375,30.8,21.7,48.4,59.6,E
Ynoa, Rafael,501255,2015,0.331,37.7,17,53.2,64.1,F
Adrianza, Ehire,501303,2015,0.235,26.2,17.6,47.1,64.9,B
Lagares, Juan,501571,2015,0.328,35.2,20.2,50.8,64.7,F
Rosario, Wilin,501647,2015,0.385,35.3,26.6,53.8,68.6,G
Almonte, Abraham,501659,2015,0.358,27.5,24.4,47.2,62.8,B
Freese, David,501896,2015,0.384,28.9,23.5,45.3,60.4,E
Davis, Khris,501981,2015,0.457,25.7,33.1,48.3,59.3,C
Snider, Travis,501983,2015,0.346,28.6,25.7,47.4,57.7,H
Pham, Tommy,502054,2015,0.427,24,25.8,41.2,63,C
Chisenhall, Lonnie,502082,2015,0.331,39,19.1,53.1,65.2,F
Martinez, J.D.,502110,2015,0.491,33.3,30.8,52.7,64.1,G
Negron, Kristopher,502117,2015,0.174,27.3,25.6,48.6,67.3,D
Brown, Domonic,502126,2015,0.306,32.8,21.6,50.3,65.2,F
Valencia, Danny,502143,2015,0.445,30.7,26.6,46.3,64,G
Clevenger, Steve,502182,2015,0.35,33.9,14.9,52.1,68.6,F
Reddick, Josh,502210,2015,0.35,26.8,16,43.4,56.5,B
Gillespie, Cole,502261,2015,0.374,22.3,17,44.1,52.9,A
McKenry, Michael,502374,2015,0.372,23.8,28.9,39.8,53.3,C
Dyson, Jarrod,502481,2015,0.327,23.2,16.5,46.3,65.3,B
Murphy, Daniel,502517,2015,0.333,31.5,9,48.4,57.2,F
Schafer, Logan,502582,2015,0.297,26.2,20.2,47.5,58,B
Goldschmidt, Paul,502671,2015,0.508,20.3,25.2,38.1,54.3,C
Gonzalez, Marwin,503556,2015,0.393,36.9,22.9,51.4,63,E
Amarista, Alexi,506560,2015,0.249,32.7,15,47,59.1,F
Leon, Sandy,506702,2015,0.224,28.8,16.3,44,51.6,F
Altuve, Jose,514888,2015,0.367,34.5,11.3,51.7,65.5,F
Tejada, Ruben,514913,2015,0.325,26.9,20.8,50.4,61.4,B
Hernandez, Cesar,514917,2015,0.339,26.9,21.6,47,58.2,B
Segura, Jean,516416,2015,0.306,36.9,17.3,53.7,66.4,F
Castro, Starlin,516770,2015,0.328,32.9,19.7,48.7,56.9,F
Marte, Starling,516782,2015,0.394,38.7,26,57.1,69.7,G
Perez, Eury,516811,2015,0.309,33,21,49.2,66.2,F
Paredes, Jimmy,517370,2015,0.424,42,36.2,58.3,65.9,G
Colon, Christian,518568,2015,0.324,31.1,15.3,42.8,60.5,F
d'Arnaud, Travis,518595,2015,0.399,27.7,23.7,46.6,62.3,A
Descalso, Daniel,518614,2015,0.3,27.5,22.4,48.6,63.6,B
Dietrich, Derek,518618,2015,0.402,27.6,23.2,46.1,57.4,A
Donaldson, Josh,518626,2015,0.458,23.1,25.3,45.8,57,C
Elmore, Jake,518653,2015,0.25,24.3,12.8,43,65.8,B
Freeman, Freddie,518692,2015,0.415,29.2,24.6,49.2,57.4,E
Grandal, Yasmani,518735,2015,0.363,22,22.8,39.1,58.5,B
Heyward, Jason,518792,2015,0.373,24,16.2,41.1,52.8,A
Kozma, Pete,518902,2015,0.169,22.6,18.9,43.5,55.9,B
LeMahieu, DJ,518934,2015,0.367,23.6,16.4,43.5,58.7,B
Lough, David,518953,2015,0.302,36.9,24.5,49.7,61.8,F
Lucroy, Jonathan,518960,2015,0.333,28.8,15.3,43.3,57.3,F
Middlebrooks, Will,519025,2015,0.313,29,28.3,46.4,63,H
Moreland, Mitch,519048,2015,0.42,29.7,25.7,47,57.3,G
Moustakas, Mike,519058,2015,0.37,31.3,16.7,47.3,58.1,E
Norris, Derek,519083,2015,0.374,24.5,21.5,44.9,59.1,A
Revere, Ben,519184,2015,0.33,28.8,10.6,42.5,56.6,F
Rizzo, Anthony,519203,2015,0.403,31.1,19.2,45.9,54.8,E
Robinson, Clint,519208,2015,0.357,25.6,18.4,44.5,54,B
Rupp, Cameron,519237,2015,0.349,27.3,26.3,48.5,61.5,D
Smolinski, Jake,519295,2015,0.3,26.9,21,45.4,58.9,B
Sogard, Eric,519299,2015,0.275,24.2,10.8,41.2,61.6,B
Souza Jr., Steven,519306,2015,0.432,25.8,32.7,46.4,66.7,C
Stanton, Giancarlo,519317,2015,0.547,29.5,36.2,44.3,56.6,G
Vogt, Stephen,519390,2015,0.375,29,18.5,41.2,55.2,E
Galvis, Freddy,520471,2015,0.319,39.6,18.9,51.2,64.2,F
Perez, Salvador,521692,2015,0.343,41.7,18,53.9,60.6,F
Forsythe, Logan,523253,2015,0.386,22.6,18.6,40.3,61.6,A
Montero, Jesus,524968,2015,0.377,47.3,30.7,60.2,67.2,G
Flores, Wilmer,527038,2015,0.33,29.3,14.3,48.8,61,F
